<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<NASDAQ>
01.03.2019	45,47	45,64	45,20	45,37	12480859	
04.03.2019	45,53	45,67	45,30	45,67	10229403	
05.03.2019	45,65	45,70	45,40	45,61	9490440	
06.03.2019	45,67	45,79	45,44	45,46	10653939	
07.03.2019	45,49	45,53	45,13	45,28	9317141	
08.03.2019	45,15	45,25	44,61	44,84	12893774	
11.03.2019	45,14	46,24	45,10	46,19	18697123	
12.03.2019	45,95	46,25	45,90	46,07	14710379	
13.03.2019	46,13	46,34	45,91	46,23	13000875	
14.03.2019	45,84	46,11	45,63	45,68	15338156	
15.03.2019	45,72	45,90	45,14	45,30	19803801	
18.03.2019	45,43	45,68	45,36	45,43	13990219	
19.03.2019	45,55	45,69	45,34	45,57	10296160	
20.03.2019	45,46	45,90	45,18	45,52	9552986	
21.03.2019	45,53	45,76	45,44	45,47	16335200	
22.03.2019	45,46	46,11	45,46	45,93	16055727	
25.03.2019	45,86	46,20	45,79	46,04	9271698	
26.03.2019	46,17	46,79	46,17	46,63	9348542	
27.03.2019	46,65	46,91	46,33	46,61	7522732	
28.03.2019	46,68	46,92	46,48	46,59	7799803	
29.03.2019	46,67	46,91	46,48	46,85	11625239	
01.04.2019	46,99	47,17	46,59	46,71	8469823	
02.04.2019	46,75	46,93	46,57	46,57	6766481	
03.04.2019	46,42	46,59	46,04	46,16	10305510	
04.04.2019	46,34	46,54	46,11	46,48	6009465	
05.04.2019	46,49	46,58	46,20	46,47	5636232	
08.04.2019	46,54	46,57	46,27	46,54	6628962	
09.04.2019	46,45	46,72	46,27	46,70	6829212	
10.04.2019	46,84	47,00	46,56	46,65	5759306	
11.04.2019	46,72	46,75	46,54	46,71	5263599	
12.04.2019	46,67	46,93	46,57	46,74	7294449	
15.04.2019	46,88	47,04	46,70	47,00	7231994	
16.04.2019	47,05	47,10	46,70	46,96	7781103	
17.04.2019	47,20	47,55	47,15	47,27	8953308	
