№	<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<NASDAQ>
1	08.11.2019	52,46	52,60	52,09	52,20	5171349	8255,89
2	11.11.2019	52,33	52,37	51,78	51,84	6012076	8241,91
3	12.11.2019	51,91	51,91	51,58	51,71	8935593	8263,79
4	13.11.2019	52,18	52,45	51,96	52,39	8932004	8259,81
5	14.11.2019	52,53	52,67	52,35	52,64	6462474	8257,83
6	15.11.2019	52,64	52,68	52,38	52,67	6408866	8315,52
7	18.11.2019	52,68	53,44	52,67	53,01	7251853	8328,48
8	19.11.2019	53,15	53,31	52,87	53,08	4847458	8338,74
9	20.11.2019	53,10	53,40	53,01	53,21	7677396	8283,75
10	21.11.2019	53,11	53,34	52,78	52,96	4700564	8265,62
11	22.11.2019	52,96	53,19	52,75	53,03	5141085	8272,05
12	25.11.2019	53,28	53,39	52,77	53,20	6283656	8371,93
13	26.11.2019	53,31	53,94	53,22	53,88	7601791	8389,30
14	27.11.2019	53,93	54,10	53,60	53,97	5991878	8444,71
15	29.11.2019	53,70	53,73	53,22	53,37	6515389	8403,68
16	02.12.2019	53,32	53,75	52,85	53,74	8690114	8315,41
17	03.12.2019	53,71	53,84	53,40	53,80	10024354	8254,74
18	04.12.2019	53,80	54,31	53,72	54,28	8458138	8296,53
19	05.12.2019	54,21	54,29	53,83	54,20	6975949	8308,40
20	06.12.2019	54,31	54,50	54,17	54,43	5212679	8397,37
21	09.12.2019	54,30	54,51	54,02	54,07	7983709	8362,74
22	10.12.2019	54,04	54,07	53,73	53,77	6356566	8354,29
23	11.12.2019	53,94	54,15	53,66	53,94	6296557	8402,61
24	12.12.2019	54,01	54,45	53,94	54,13	8641576	8466,89
25	13.12.2019	53,94	54,55	53,84	54,43	7049650	8487,71
26	16.12.2019	54,69	54,83	54,37	54,42	6179115	8570,33
27	17.12.2019	54,40	54,58	54,29	54,41	5126933	8575,70
28	18.12.2019	54,53	54,75	53,89	53,92	8548360	8580,62
29	19.12.2019	54,02	54,34	53,92	54,31	6213662	8641,29
30	20.12.2019	54,94	55,20	54,47	54,97	12981236	8678,49
31	23.12.2019	55,00	55,24	54,84	54,92	4745750	8696,01
32	24.12.2019	54,80	55,00	54,64	54,68	3082877	8699,51
33	26.12.2019	54,92	55,01	54,79	55,01	2982243	8778,31
34	27.12.2019	55,01	55,45	55,00	55,35	4641475	8770,98
35	30.12.2019	55,18	55,39	55,06	55,28	4494635	8709,73
36	31.12.2019	55,20	55,38	54,98	55,33	4908648	8729,86
37	02.01.2020	55,32	55,43	54,76	54,98	7056897	8872,22
38	03.01.2020	54,32	54,99	54,09	54,72	5909331	8793,90
39	06.01.2020	54,65	54,91	54,52	54,66	6775178	8848,52
40	07.01.2020	54,45	54,60	54,15	54,27	5999799	8846,45
41	08.01.2020	54,27	54,64	54,15	54,35	5430681	8912,37
42	09.01.2020	55,00	55,40	54,84	55,34	9793508	8989,63
43	10.01.2020	55,48	55,93	55,45	55,55	8558606	8966,64
44	13.01.2020	55,53	56,23	55,42	56,13	9374262	9070,65
45	14.01.2020	56,24	56,29	55,83	55,99	8978040	9033,42
46	15.01.2020	56,00	56,98	56,00	56,69	12994571	9035,67
47	16.01.2020	56,85	56,95	56,61	56,80	6045091	9125,00
